MAC Address,Network Adapter,IP Address,Computer Name,GUID/UUID,GUID/UUID Mac Address Conversion,Total RAM Memory,Sid,RAM Memory Bank Label,RAM Memory Capacity,RAM Memory Device Locator,RAM Memory Manufacturer,Computer Manufacturer,Computer Model,Computer Serial,Motherboard Manufacturer,Motherboard Model,Motherboard Product,Motherboard Serial Number,Motherboard Version,Hard Disk Drive Letter,Hard Disk Size,Hard Disk Free Space,Hard Disk Volume Serial Number,Hard Disk Manufacturer,Hard Disk Model,Hard Disk Device ID,Hard Disk Interface Type,Hard Disk Partitions,Hard Disk Total Cylinders,Hard Disk Total Heads,Hard Disk Total Sectors,Hard Disk Total Tracks,Hard Disk Tracks Per Cylinder,Processor Name,Processor Type,Processor Family,Sound Card Manufacturer,Sound Card Product Name,Sound Card Description,Sound Card Name,Video Card Name,Video Card Setting ID,Floppy Manufacturer,Floppy Name,Floppy Device ID,CDROMCaptionSet,CDROMDescriptionSet,CDROMDeviceIDSet,CDROMDriveSet,CDROMManufacturerSet,CDROMNameSet,BIOS Version,Dell Service Tag,Date of Log,Time of Log
80:C1:6E:F7:6C:79,Realtek PCIe GBE Family Controller,10.1.129.193,ART702,9F8E7509-5188-93CD-05C9-BAE23D037DDF,00000000-0000-0000-0000-80C16EF76C79,2047688704,N/A,1:BANK2 ,1:2147483648 ,1:DIMM3 ,1:Samsung          ,Hewlett-Packard,HP Pro 3300 Series SFF,CZC2245RFX,Foxconn,,2ABF, ,1.3,1:C: ,1:37 GB ,1:2 GB ,1:74CF9D04 ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSC2CT060A3 2:Multiple Card  Reader USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:7297 2: ,1:255 2: ,1:117226305 2: ,1:1860735 2: ,1:255 2: ,1:Intel(R) Pentium(R) CPU G630 @ 2.70GHz ,01:09,1:x64 Family 6 Model 42 Stepping 7 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH80N ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH80N________________________RF03____\4&1BCBC1D2&0&0.1.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH80N ,HPQOEM - 1072009,N/A,17/10/2013,08:59:12
80:C1:6E:F6:E5:DC,Realtek PCIe GBE Family Controller,10.1.130.54,ART703,E392BF23-2998-35AD-729F-98BF499561F1,00000000-0000-0000-0000-80C16EF6E5DC,2047688704,N/A,1:BANK2 ,1:2147483648 ,1:DIMM3 ,1:Samsung          ,Hewlett-Packard,HP Pro 3300 Series SFF,CZC2245QYP,Foxconn,,2ABF, ,1.3,1:C: ,1:37 GB ,1:0 GB ,1:74CF9D04 ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSC2CT060A3 2:Multiple Card  Reader USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:7297 2: ,1:255 2: ,1:117226305 2: ,1:1860735 2: ,1:255 2: ,1:Intel(R) Pentium(R) CPU G630 @ 2.70GHz ,01:09,1:x64 Family 6 Model 42 Stepping 7 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH80N ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH80N________________________RF03____\4&1BCBC1D2&0&0.1.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH80N ,HPQOEM - 1072009,N/A,17/10/2013,10:19:51
2C:41:38:8C:4E:4D,Realtek PCIe GBE Family Controller,10.1.128.177,ARTOFFICE07,0898201F-8979-5836-3E83-2B1A087999AF,00000000-0000-0000-0000-2C41388C4E4D,2047688704,N/A,1:BANK2 ,1:2147483648 ,1:DIMM3 ,1:Elpida           ,Hewlett-Packard,HP Pro 3300 Series SFF,CZC142CWDR,Foxconn,,2ABF, ,1.2,1:C: ,1:37 GB ,1:0 GB ,1:74CF9D04 ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSA2CT040G3 ATA Device 2:Multiple Card  Reader USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:4865 2: ,1:255 2: ,1:78156225 2: ,1:1240575 2: ,1:255 2: ,1:Intel(R) Pentium(R) CPU G630 @ 2.70GHz ,01:09,1:x64 Family 6 Model 42 Stepping 7 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD A  DH16ABSH ATA Device ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD_A__DH16ABSH______________________YHD9____\5&48FDE0A&0&4.0.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD A  DH16ABSH ATA Device ,HPQOEM - 1072009,N/A,17/10/2013,08:26:51
70:71:BC:AA:68:DC,Realtek RTL8168D/8111D Family PCI-E Gigabit Ethernet NIC (NDIS 6.20),10.1.131.3,ASNOW07,0B439E00-60F1-1016-AE2C-F47278CD04B9,00000000-0000-0000-0000-7071BCAA68DC,3184709632,N/A,1:BANK0 2:BANK2 ,1:2147483648 2:1073741824 ,1:DIMM0 2:DIMM2 ,1:CE80000000000000 2:CE80000000000000 ,Hewlett-Packard,HP Pro 3120 Small Form Factor PC,CZC046BF6G,PEGATRON CORPORATION,,2A94,1.07067E+14,1.03,1:C: ,1:37 GB ,1:8 GB ,1:760D95DC ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSA2M040G2GC ATA Device 2:Generic- Multi-Card USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:4865 2: ,1:255 2: ,1:78156225 2: ,1:1240575 2: ,1:255 2: ,1:Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz ,01:09,1:x64 Family 6 Model 23 Stepping 10 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH60L ATA Device ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH60L________________________RD01____\5&1A7B092C&0&0.0.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH60L ATA Device ,HPQOEM - 20100702,N/A,17/10/2013,08:22:02
6C:62:6D:E7:4F:7C,Realtek PCIe GBE Family Controller,10.1.128.161,A-WORKROOM01,C4A4A980-CC75-1016-A3D8-E523DDFFC480,00000000-0000-0000-0000-6C626DE74F7C,1869729792,N/A,1:BANK1 ,1:2147483648 ,1:DIMM1 ,1:2C802C80       ,Hewlett-Packard,HP Pro 3130 Small Form Factor PC,CZC1144J99,MSI,,2A9C, ,1.1,1:C: ,1:37 GB ,1:10 GB ,1:74CF9D04 ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSA2CT040G3 ATA Device 2:Multi Flash Reader USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:4865 2: ,1:255 2: ,1:78156225 2: ,1:1240575 2: ,1:255 2: ,1:Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz ,01:09,1:x64 Family 6 Model 37 Stepping 5 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HPQOEM - 20110318,N/A,17/10/2013,11:24:03
70:71:BC:AA:6A:A7,Realtek RTL8168D/8111D Family PCI-E Gigabit Ethernet NIC (NDIS 6.20),10.1.131.48,A-WORKROOM02,7F356600-605F-1016-9DAC-C2CD66ABB022,00000000-0000-0000-0000-7071BCAA6AA7,3184709632,N/A,1:BANK0 2:BANK2 ,1:2147483648 2:1073741824 ,1:DIMM0 2:DIMM2 ,1:CE80000000000000 2:CE80000000000000 ,Hewlett-Packard,HP Pro 3120 Small Form Factor PC,CZC046BF9G,PEGATRON CORPORATION,,2A94,1.07067E+14,1.03,1:C: ,1:37 GB ,1:13 GB ,1:760D95DC ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSA2CT040G3 ATA Device 2:Generic- Multi-Card USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:4865 2: ,1:255 2: ,1:78156225 2: ,1:1240575 2: ,1:255 2: ,1:Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz ,01:09,1:x64 Family 6 Model 23 Stepping 10 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH60L ATA Device ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH60L________________________RD01____\5&30A271E9&0&2.0.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH60L ATA Device ,HPQOEM - 20100702,N/A,17/10/2013,11:24:01
AC:16:2D:04:C7:5E,Realtek PCIe GBE Family Controller,10.1.129.197,A-WORKROOM03,3D01DA7B-4907-6A87-816E-BD6904C0E626,00000000-0000-0000-0000-AC162D04C75E,2047688704,N/A,1:BANK2 ,1:2147483648 ,1:DIMM3 ,1:Micron           ,Hewlett-Packard,HP Pro 3300 Series SFF,CZC22848GJ,Foxconn,,2ABF, ,1.3,1:C: ,1:37 GB ,1:5 GB ,1:74CF9D04 ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSC2CT060A3 2:Multiple Card  Reader USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:7297 2: ,1:255 2: ,1:117226305 2: ,1:1860735 2: ,1:255 2: ,1:Intel(R) Pentium(R) CPU G630 @ 2.70GHz ,01:09,1:x64 Family 6 Model 42 Stepping 7 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH80N ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH80N________________________RF03____\4&1BCBC1D2&0&0.1.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH80N ,HPQOEM - 1072009,N/A,17/10/2013,11:25:44
AC:16:2D:02:16:72,Realtek PCIe GBE Family Controller,10.1.130.56,A-WORKROOM04,E5C52036-BFF8-5E80-B2B7-42B39826AA6E,00000000-0000-0000-0000-AC162D021672,2047688704,N/A,1:BANK2 ,1:2147483648 ,1:DIMM3 ,1:Micron           ,Hewlett-Packard,HP Pro 3300 Series SFF,CZC22848HG,Foxconn,,2ABF, ,1.3,1:C: ,1:37 GB ,1:13 GB ,1:74CF9D04 ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSC2CT060A3 2:Multiple Card  Reader USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:7297 2: ,1:255 2: ,1:117226305 2: ,1:1860735 2: ,1:255 2: ,1:Intel(R) Pentium(R) CPU G630 @ 2.70GHz ,01:09,1:x64 Family 6 Model 42 Stepping 7 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH80N ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH80N________________________RF03____\4&2AD2D10&0&0.1.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH80N ,HPQOEM - 1072009,N/A,17/10/2013,11:29:46
70:71:BC:AA:63:DE,Realtek RTL8168D/8111D Family PCI-E Gigabit Ethernet NIC (NDIS 6.20),10.1.130.79,A-WORKROOM05,7E4D1480-60F1-1016-9C17-EFC528C048FB,00000000-0000-0000-0000-7071BCAA63DE,3184709632,N/A,1:BANK0 2:BANK2 ,1:2147483648 2:1073741824 ,1:DIMM0 2:DIMM2 ,1:CE80000000000000 2:CE80000000000000 ,Hewlett-Packard,HP Pro 3120 Small Form Factor PC,CZC046BF6V,PEGATRON CORPORATION,,2A94,1.07067E+14,1.03,1:C: ,1:37 GB ,1:8 GB ,1:760D95DC ,1:(Standard disk drives) 2:(Standard disk drives) ,1:INTEL SSDSA2CT040G3 ATA Device 2:Generic- Multi-Card USB Device ,1:\\.\PHYSICALDRIVE0 2:\\.\PHYSICALDRIVE1 ,1: IDE 2: USB ,1:2 2:0 ,1:4865 2: ,1:255 2: ,1:78156225 2: ,1:1240575 2: ,1:255 2: ,1:Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz ,01:09,1:x64 Family 6 Model 23 Stepping 10 ,Realtek,Realtek High Definition Audio,Realtek High Definition Audio,Realtek High Definition Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HPQOEM - 20100702,N/A,17/10/2013,11:32:33
00:21:86:FC:3E:DD,Intel(R) 82578DM Gigabit Network Connection,10.1.130.132,BIGSCHOOL07,3CB2645C-975B-A4B2-62B9-B2CC1618B2F8,00000000-0000-0000-0000-002186FC3EDD,3009798144,N/A,1:A1_BANK0 2:A1_BANK2 ,1:2147483648 2:2147483648 ,1:A1_DIMM0 2:A1_DIMM2 ,1:Elpida            2:Elpida            ,LENOVO,3257A6G,R84YZ03,LENOVO,,  ,  ,  ,1:C: ,1:55 GB ,1:30 GB ,1:54EF19A8 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT060A3 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,5.109027778,0.21875,1:117226305 ,1:1860735 ,0.21875,1:Intel(R) Core(TM) i5 CPU         650  @ 3.20GHz ,01:09,1:x64 Family 6 Model 37 Stepping 2 ,Microsoft,High Definition Audio Device,High Definition Audio Device,High Definition Audio Device,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,0:hp DVD-RAM GH80N ATA Device ,0:CD-ROM Drive ,0:IDE\CDROMHP_DVD-RAM_GH80N________________________RF03____\5&6F1A25B&0&0.0.0 ,0:D: ,0:(Standard CD-ROM drives) ,0:hp DVD-RAM GH80N ATA Device ,LENOVO - 12d,N/A,17/10/2013,08:24:40
